z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
54,130,Xe,1122,"4.6 ps",2+,+0.9(2),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,130,Xe,1205,"2.4 ps",4+,+1.7(4),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,130,Xe,538,"8.6 ps",2+,+0.67(10),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,131,Xe,0,stable,3/2+,+0.691845(7),NMR,"Nuclear Magnetic Resonance",2015Ma72,"Magn Res Chem 53 273 (2015)",indc-nds-0794
54,132,Xe,2214,"87 ns",7-,-0.06(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1986Vo14,"YadF 44 849 (86)",indc-nds-0816
54,132,Xe,2752,"8.4 ms",10+,(-)1.95(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1976Ha50,"ZP A278 303 (76)",indc-nds-0816
54,132,Xe,1298,"3.0 ps",2+,+0.2(4),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,132,Xe,1440,"1.8 ps",4+,+2.4(6),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,132,Xe,668,"4.6 ps",2+,+0.63(10),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,134,Xe,1731,"2.2 ps",4+,+3.2(8),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,134,Xe,847,"2.08 ps",2+,+0.71(10),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,135,Xe,0,"9.14 h",3/2+,+0.9032(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",L,"PC Neugart (90)",indc-nds-0794
54,135,Xe,527,"15.3 m",11/2-,-1.1036(14),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",L,"PC Neugart (90)",indc-nds-0794
54,136,Xe,1694,"1.29 ns",4+,3.2(6),IPAC,"Integral Perturbed Angular Correlation",1985Be04,"PR C31 570 (85)",indc-nds-0816
54,136,Xe,1313,"0.36 ps",2+,+1.53(24),TF,"Transient Field integral perturbed angular correlation",2002Ja02,"PR C65 024316 2002",indc-nds-0816
54,137,Xe,0,"3.82 m",7/2-,-0.9704(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1989Bo03,"PL B216 7 (89)",indc-nds-0794
54,139,Xe,0,"39.7 s",3/2-,-0.3040(16),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1989Bo03,"PL B216 7 (89)",indc-nds-0794
54,140,Xe,377,"70 ps",2+,1.1(4),IPAC,"Integral Perturbed Angular Correlation",2009Go09,"PR C79 034316 (09)",indc-nds-0816
54,141,Xe,0,"1.73 s",5/2(-),+0.010(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1989Bo03,"PL B216 7 (89)",indc-nds-0794
54,142,Xe,287,"0.20 ns",2+,0.8(3),IPAC,"Integral Perturbed Angular Correlation",2009Go09,"PR C79 034316 (09)",indc-nds-0816
54,143,Xe,0,"0.51 s",5/2-,-0.460(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1989Bo03,"PL B216 7 (89)",indc-nds-0794
55,118,Cs,0,"14 s",2,+3.870(5),ABLS,"Atomic Beam Laser Spectroscopy",1987Co19,"NP A468 1 (87)",indc-nds-0794
55,118,Cs,"0 + x","17 s",(6-),5.4(11),NO/S,"Static Nuclear Orientation with gamma detection",1987Sh12,"PR C36 413 (87)",indc-nds-0794
55,119,Cs,0,"43 s",9/2+,+5.45(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,119,Cs,"0 + x","30.4 s",3/2+,+0.837(5),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,120,Cs,0,"61.3 s",2+,+3.86(2),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,121,Cs,0,"155 s",3/2+,+0.769(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,121,Cs,68,"122 s",9/2+,+5.40(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,122,Cs,0,"21 s",1+,0.133(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1977Ek02,"NP A292 144 (77)",indc-nds-0794
55,122,Cs,~140,"3.7 m",8-,+4.76(2),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,123,Cs,0,"5.9 m",1/2+,+1.375(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,124,Cs,0,"31 s",1+,+0.672(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,125,Cs,0,"47 m",1/2+,+1.407(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,126,Cs,0,"1.64 m",1+,+0.776(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,127,Cs,0,"6.2 h",1/2+,+1.457(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,127,Cs,66,"24.9 ns",(5/2)+,2.7(5),TDPAC,"Time Dependent Perturbed Angular Correlation",1999Co22,"NIMPR B152 357 (99)",indc-nds-0816
55,128,Cs,0,"3.6 m",1+,+0.972(5),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,129,Cs,0,"32.1 h",1/2+,+1.489(8),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,129,Cs,575,"718 ns",11/2-,+6.55(10),TDPAD,"Time Dependent Perturbed Angular Distribution",1978De29,"PR C18 2061 (78)",indc-nds-0816
55,130,Cs,0,"29.2 m",1+,+1.458(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,130,Cs,163,"3.46 m",5-,+0.628(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,131,Cs,0,"9.69 d",5/2+,+3.536(3),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1965Wo05,"PR 140 B1483 (65)",indc-nds-0794
55,131,Cs,134,"8.6 ns",5/2+,+1.86(8),TDPAC,"Time Dependent Perturbed Angular Correlation",1973AoZZ,"JPJS 34 427 (73)",indc-nds-0816
55,132,Cs,0,"6.48 d",2+,+2.219(7),OL,"Optical Level Crossing",1975Ac01,"NP A248 157 (75)",indc-nds-0794
55,133,Cs,161,"172 ps",5/2+,+2.25(15),IPAC,"Integral Perturbed Angular Correlation",1979Th02,"NP A318 97 (79)",indc-nds-0816
55,133,Cs,81,"6.28 ns",5/2+,+3.45(2),ME,"Mossbauer Effect",1968Ca03,"NP A109 59 (68)",indc-nds-0816
55,133,Cs,0,stable,7/2+,+2.5778(14),OP/RD,"Optical Pumping with Radiative Detection",1973Wh01,"PR A7 1178 (73)",indc-nds-0794
55,134,Cs,0,"2.06 y",4+,+2.9893(14),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1957St11,"PR 105 590 (57)",indc-nds-0794
55,134,Cs,139,"2.91 h",8-,+1.0959(6),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1962Co14,"PR 127 517 (62)",indc-nds-0794
55,134,Cs,11,"47 ns",5+,+3.35(7),TDPAC,"Time Dependent Perturbed Angular Correlation",1970DrZX,"Cf70Delft 549 (70)",indc-nds-0816
55,135,Cs,0,"2.3 x 106 y",7/2+,+2.7283(13),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1957St11,"PR 105 590 (57)",indc-nds-0794
55,135,Cs,1633,"53 m",19/2-,+2.18(1),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,136,Cs,0+x,"19 s",8-,+1.317(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,136,Cs,0,"13.2 d",5+,+3.705(15),OL,"Optical Level Crossing",1975Ac01,"NP A248 157 (75)",indc-nds-0794
55,137,Cs,0,"30.1 y",7/2+,+2.8374(14),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1957St11,"PR 105 590 (57)",indc-nds-0794
55,138,Cs,0,"33.4 m",3-,+0.699(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,138,Cs,80,"2.9 m",6-,+1.710(9),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,139,Cs,0,"9.3 m",7/2+,+2.688(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1979Bo01,"ZP A289 227 (79)",indc-nds-0794
55,140,Cs,0,"63.7 s",1-,+0.134(1),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,141,Cs,0,"24.8 s",7/2+,+2.431(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1979Bo01,"ZP A289 227 (79)",indc-nds-0794
55,143,Cs,0,"1.79 s",3/2+,+0.869(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,144,Cs,0,"0.99 s",1(-),-0.545(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,145,Cs,0,"0.59 s",3/2+,+0.783(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th06,"NP A367 1 (81)",indc-nds-0794
55,146,Cs,0,"0.32 s",1-,-0.514(2),ABLS,"Atomic Beam Laser Spectroscopy",1987Co19,"NP A468 1 (87)",indc-nds-0794
56,121,Ba,0,"30 s",5/2(+),+0.660(1),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We14,"PL 211B 272 (88)",indc-nds-0794
56,123,Ba,,,,-0.69(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1983Mu12,"NP A403 234 (83)",indc-nds-0794
56,123,Ba,0,"2.7 m",5/2+,-0.680(1),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We14,"PL 211B 272 (88)",indc-nds-0794
56,125,Ba,0,"3.5 m",1/2+,+0.177(12),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1983Mu12,"NP A403 234 (83)",indc-nds-0794
56,125,Ba,"0 + x",-,5/2+,0.1736(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Da06,"JP G18 L67 (92)",indc-nds-0794
56,127,Ba,0,"12.7 m",1/2+,+0.0834(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Da06,"JP G18 L67 (92)",indc-nds-0794
56,127,Ba,80,"1.9 s",7/2-,-0.7227(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Da06,"JP G18 L67 (92)",indc-nds-0794
56,129,Ba,182,"15.2 ns",9/2-,-0.86(3),TDPAD,"Time Dependent Perturbed Angular Distribution",2013Ka27,"PR C87 064312 (2013)",indc-nds-0816
56,129,Ba,2462,"47 ns",23/2+,-2.68(8),TDPAD,"Time Dependent Perturbed Angular Distribution",2013Ka27,"PR C87 064312 (2013)",indc-nds-0816
56,130,Ba,2475,"9.4 ms",8-,-0.04(3),CLS,"Resonance Cell Laser Spectroscopy",2002Mo31,"PL B547 200 (02)",indc-nds-0794
56,130,Ba,357,"42 ps",2+,+0.70(10),TF,"Transient Field integral perturbed angular correlation",1980Br01,"PR C21 574 (80)",indc-nds-0816
56,131,Ba,188,"14.6 m",9/2-,-0.87(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1983Mu12,"NP A403 234 (83)",indc-nds-0794
56,131,Ba,0,"11.5 d",1/2+,0.7083(2),TIS,"Trapped Ion Spectroscopy",1987Kn10,"EPL 4 1361 (87)",indc-nds-0794
56,132,Ba,3116,"8.9 ns",10+,-1.59(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1996Da02,"PR C53 1009 (96)",indc-nds-0816
56,132,Ba,465,"15.1 ps",2+,+0.68(10),TF,"Transient Field integral perturbed angular correlation",1980Br01,"PR C21 574 (80)",indc-nds-0816
56,133,Ba,288,"38.9 h",11/2-,-0.91(5),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1983Mu12/1979DbE25,"NP A403 234 (83)/ZP A291 219 (79)",indc-nds-0794
56,133,Ba,0,"10.55 y",1/2+,0.7719(2),TIS,"Trapped Ion Spectroscopy",1987Kn10,"EPL 4 1361 (87)",indc-nds-0794
56,133,Ba,12,"7.0 ns",3/2+,+0.51(7),XHFS,"X-ray Hyperfine Shift",1981Gr18,"ZETF 80 120 (81)",indc-nds-0816
56,134,Ba,2957,"2.6 ms",10+,-2.0(1),TDPAD,"Time Dependent Perturbed Angular Distribution",1982BeZY,"BAPS 27 27 (82)",indc-nds-0816
56,134,Ba,605,"5.1 ps",2+,+0.86(10),TF,"Transient Field integral perturbed angular correlation",1980Br01,"PR C21 574 (80)",indc-nds-0816
56,135,Ba,268,"28.7 h",11/2-,-1.001(15),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1983Mu12/1979DbE25,"NP A403 234 (83)/ZP A291 219 (79)",indc-nds-0794
56,135,Ba,0,stable,3/2+,+0.8381(2),NMR,"Nuclear Magnetic Resonance",2013An23,"CPL 588 57 (2013)",indc-nds-0794
56,136,Ba,2140,"1.6 ns",5-,-1.9(2),IPAC,"Integral Perturbed Angular Correlation",1979Oh03,"HFI 7 103 (79)",indc-nds-0816
56,136,Ba,818,"1.93 ps",2+,+0.69(10),TF,"Transient Field integral perturbed angular correlation",1980Br01,"PR C21 574 (80)",indc-nds-0816
56,137,Ba,662,"2.55 m",11/2-,-0.99(3),ABLFS,"Atomic Beam with Laser Fluorescence Spectroscopy",1983Mu12/1979DbE25,"NP A403 234 (83)/ZP A291 219 (79)",indc-nds-0794
56,137,Ba,0,stable,3/2+,+0.9375(2),NMR,"Nuclear Magnetic Resonance",2013An23,"CPL 588 57 (2013)",indc-nds-0794
56,138,Ba,1899,"2.16 ns",4+,3.2(6),IPAC,"Integral Perturbed Angular Correlation",1985Be04,"PR C31 570 (85)",indc-nds-0816
56,138,Ba,2091,"0.8 ms",6+,5.9(12),TDPAD,"Time Dependent Perturbed Angular Distribution",1976Ik04,"HFI 2 331 (76)",indc-nds-0816
56,138,Ba,1436,"0.20 ps",2+,+1.4(2),"TF ","Transient Field integral perturbed angular correlation",1987Ba65,"ZP A328 275 (87)",indc-nds-0816
56,139,Ba,0,"83.1 m",7/2-,-0.973(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (88)",indc-nds-0794
56,141,Ba,0,"18.3 m",3/2-,-0.337(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (88)",indc-nds-0794
56,142,Ba,360,"65 ps",2+,0.85(10),IPAC,"Integral Perturbed Angular Correlation",1988Wo03,"PR C37 1253 (88)",indc-nds-0816
56,143,Ba,0,"14.5 s",5/2-,+0.443(11),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (88)",indc-nds-0794
56,143,Ba,117,"3.5 ns",9/2-,+0.5(3),IMPAC,"Perturbed Angular Correlation after Ion Implantation",1999Sm05,"PL B453 206 (99)",indc-nds-0816
56,144,Ba,199,"0.71 ns",2+,0.68(10),IPAC,"Integral Perturbed Angular Correlation",1983Wo05,"PL 123B 165 (83)",indc-nds-0816
56,145,Ba,0,"4.31 s",5/2-,-0.285(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1988We07,"ZP A329 407 (88)",indc-nds-0794
56,145,Ba,113,"0.2 ns",(7/2)-,-1.4(10),IMPAC,"Perturbed Angular Correlation after Ion Implantation",1999Sm05,"PL B453 206 (99)",indc-nds-0816
56,146,Ba,181,"0.86 ns",2+,0.56(14),IPAC,"Integral Perturbed Angular Correlation",1983Wo05,"PL 123B 165 (83)",indc-nds-0816
57,130,La,319,"33 ns",6+,+2.9(2),TDPAD,"Time Dependent Perturbed Angular Distribution",2014Io01,"PR C90 014323 (14)",indc-nds-0816
57,131,La,2121,"38 ns",21/2-,+11.20(4),TDPAD,"Time Dependent Perturbed Angular Distribution",2017Ka03,"PL B765 317 (2014)",indc-nds-0816
57,133,La,536,"62 ns",11/2-,7.5(5),TDPAC,"Time Dependent Perturbed Angular Correlation",1979BuZW,"CF79Riga 81 (79)",indc-nds-0816
57,135,La,0,"19.5 h",5/2+,+3.70(9),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2003II03,"PR C68 054328 (03)",indc-nds-0794
57,135,La,2737,"26 ns",(23/2-),0.0(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1976Le29,"IzF 40 1249 (76)",indc-nds-0816
57,137,La,0,"6 x 104 y",7/2+,+2.696(6),O,"Optical Spectroscopy",1972Fi19,"ZP 254 127 (72)",indc-nds-0794
57,137,La,1870,"342 ns",19/2-,+2.34(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1982KiZV,"BAPS 27 728 (82)",indc-nds-0816
57,138,La,0,"1.0 x 1011 y",5+,+3.7084(2),NMR,"Nuclear Magnetic Resonance",2016An22,"CPL 660 127 (2016)",indc-nds-0794
57,138,La,73,"116 ns",3+,+2.89(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1979Bo11,"ZP A291 49 (79)",indc-nds-0816
57,139,La,0,stable,7/2+,+2.7791(2),NMR,"Nuclear Magnetic Resonance",2016An22,"CPL 660 127 (2016)",indc-nds-0794
57,140,La,0,"40.3 h",3-,+0.730(15),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",L,"Cf69Mont 91 (69)",indc-nds-0794
58,126,Ce,2199,"8 ps",(9-),(+)7(3),IPAD,"Integral Perturbed Angular Distribution",1987IsZS,"Cf87Melb. 93 (87)",indc-nds-0816
58,126,Ce,2629,"4 ps",(11-),(+)8(4),IPAD,"Integral Perturbed Angular Distribution",1987IsZS,"Cf87Melb. 93 (87)",indc-nds-0816
58,129,Ce,108,"60 ns",(7/2-),-0.65(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1998Io01,"NP A633 459 (98)",indc-nds-0816
58,131,Ce,162,"88 ns",9/2-,-0.85(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1998Io01,"NP A633 459 (98)",indc-nds-0816
58,134,Ce,3719,"5.8 ps",10+,-3(3),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1982Ze04,"NP A383 165 (82)",indc-nds-0816
58,135,Ce,2125,"8.2 ns",19/2+,-0.66(10),IPAD,"Integral Perturbed Angular Distribution",1982Ze01,"ZP A304 269 (82)",indc-nds-0816
58,136,Ce,3095,"2.2 ms",10+,-1.80(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1980Ba68,"PRL 45 1015 (80)",indc-nds-0816
58,137,Ce,0,"9.0 h",3/2+,0.96(4),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1991Mu06,"JPJa 60 845 (91)",indc-nds-0794
58,137,Ce,254,"34.4 h",11/2-,1.01(4),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1991Mu06,"JPJa 60 845 (91)",indc-nds-0794
58,138,Ce,3539,"81 ns",10+,-1.70(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1980Ba68,"PRL 45 1015 (80)",indc-nds-0816
58,139,Ce,0,"137.6 d",3/2+,1.06(4),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1991Mu06,"JPJa 60 845 (91)",indc-nds-0794
58,139,Ce,2631,"70 ns",19/2-,+3.99(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1980Ba68,"PRL 45 1015 (80)",indc-nds-0816
58,140,Ce,2083,"3.4 ns",4+,4.06(15),TDPAC,"Time Dependent Perturbed Angular Correlation",1965Le16,"PR 140 B811 (65)",indc-nds-0816
58,140,Ce,3715,"23 ns",10+,+10.3(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1988Ka04,"ZP A329 143 (88)",indc-nds-0816
58,140,Ce,1596,"92 fs",2+,+1.9(3),TF,"Transient Field integral perturbed angular correlation",1991Ba38,"NP A533 541 (91)",indc-nds-0816
58,141,Ce,0,"32.5 d",7/2-,1.09(4),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1983Va36,"HFI 15 325 (83)",indc-nds-0794
58,142,Ce,641,"5.6 ps",2+,+0.42(10),TF,"Transient Field integral perturbed angular correlation",1991Ba38,"NP A533 541 (91)",indc-nds-0816
58,143,Ce,0,"33.0 h",3/2-,0.43(1),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",2002Ta01,"PR C65 017301 (01)",indc-nds-0794
58,146,Ce,258,"0.23 ns",2+,0.9(2),IPAC,"Integral Perturbed Angular Correlation",2009Go09,"PR C79 034316 (09)",indc-nds-0816
58,148,Ce,158,"1.01 ns",2+,0.74(12),IPAC,"Integral Perturbed Angular Correlation",1986Gi05,"PR C33 1030 (86)",indc-nds-0816
58,150,Ce,306,"0.3 ns",4+,+3.2(16),IMPAC,"Perturbed Angular Correlation after Ion Implantation",1999Sm05,"PL B453 206 (99)",indc-nds-0816
59,136,Pr,595,"91.7 ns",6+,+3.42(11),TDPAD,"Time Dependent Perturbed Angular Distribution",1993Ba42,"NP A603 50 (96)",indc-nds-0816
59,139,Pr,,,,+7.2(6),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Ri09,"PRL 48 516 (82)",indc-nds-0816
59,139,Pr,822,"43 ns",11/2-,+6.6(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1979Ke07,"ZP A291 319 (79)",indc-nds-0816
59,141,Pr,1796,"1.0 ns",15/2+,+8(2),IPAD,"Integral Perturbed Angular Distribution",1984Go12,"ZETF 87 3 (84)",indc-nds-0816
59,141,Pr,145,"1.85 ns",7/2+,+2.95(9),ME,"Mossbauer Effect",1976St73,"JPCR 5 1093 (76)",indc-nds-0816
59,141,Pr,0,stable,5/2+,+4.266(3),OD,"Optical Double Resonance",1982Ma31,"PRL 49 636 (82)",indc-nds-0794
59,141,Pr,1118,"4.8 ns",11/2-,+6.2(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1984Go12,"ZETF 87 3 (84)",indc-nds-0816
59,142,Pr,0,"19.1 h",2-,+0.234(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",L,"PCan 29n4 47 (73)/BAPS 15 628 (70)",indc-nds-0794
59,142,Pr,4,"14.6 m",5-,2.2(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1973AnZO,"PCan 29n4 47 (73)",indc-nds-0794
59,143,Pr,0,"13.57 d",7/2+,+2.695(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1994Ii01,"PR C50 661 (94)",indc-nds-0794
59,143,Pr,57,"4.1 ns",5/2+,+3.4(1),TDPAC,"Time Dependent Perturbed Angular Correlation",1977Ne12,"HFI 3 147 (77)",indc-nds-0816
59,144,Pr,80,"0.136 ns",1-,-1.2(4),IPAC,"Integral Perturbed Angular Correlation",1975Ba32,"PS 11 363 (75)",indc-nds-0816
60,134,Nd,295,"64 ps",2+,+1.2(4),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1987Bi13,"PR C36 974 (87)",indc-nds-0816
60,135,Nd,199,"39 ps",11/2-,-0.5(3),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1987Bi13,"PR C36 974 (87)",indc-nds-0816
60,135,Nd,0,"12.4 m",9/2-,-0.78(3),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1992Le09,"JP G18 1177 (92)",indc-nds-0794
60,136,Nd,3297,"51 ps",10+,+11(4),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1987Bi13,"PR C36 974 (87)",indc-nds-0816
60,136,Nd,3687,"19 ps",12+,+14(5),IMPAD,"Perturbed Angular Distribution after Ion Implantation",1987Bi13,"PR C36 974 (87)",indc-nds-0816
60,137,Nd,0,"38 m",1/2+,-0.632(5),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1992Le09,"JP G18 1177 (92)",indc-nds-0794
60,138,Nd,3175,"0.41 ms",10+,-1.74(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1982Ri09,"PRL 48 516 (82)",indc-nds-0816
60,139,Nd,0,"29.7 m",3/2+,+0.905(7),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1992Le09,"JP G18 1177 (92)",indc-nds-0794
60,140,Nd,3621,"22 ns",10+,-1.92(12),TDPAD,"Time Dependent Perturbed Angular Distribution",1980Me11,"NP A346 281 (80)",indc-nds-0816
60,141,Nd,0,"2.49 h",3/2+,+1.010(9),LRIMS,"Laser Resonance Ionization Mass Spectroscopy",1992Le09,"JP G18 1177 (92)",indc-nds-0794
60,142,Nd,1576,"110 fs",2+,+1.7(2),TF,"Transient Field integral perturbed angular correlation",1991Ba38,"NP A533 541 (91)",indc-nds-0816
60,143,Nd,0,stable,7/2-,-1.065(5),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1965Sm04,"PPS 86 1249 (65)",indc-nds-0794
60,143,Nd,1228,"6.79 ns",13/2+,+0.38(3),IPAD,"Integral Perturbed Angular Distribution",1994KA23,"ZP A348 173 (94)",indc-nds-0816
60,143,Nd,2911,"0.48 ns",21/2+,+7.2(13),IPAD,"Integral Perturbed Angular Distribution",1994KA23,"ZP A348 173 (94)",indc-nds-0816
60,144,Nd,1314,"7.4 ps",4+,+0.52(15),TF,"Transient Field integral perturbed angular correlation",2001Ho02,"PR C63 024315",indc-nds-0816
60,144,Nd,1791,"21 ps",6+,-3.4(14),TF,"Transient Field integral perturbed angular correlation",2001Ho02,"PR C63 024315",indc-nds-0816
60,144,Nd,697,"2.97 ps",2+,+0.40(4),TF,"Transient Field integral perturbed angular correlation",2001Ho02,"PR C63 024315",indc-nds-0816
60,145,Nd,0,stable,7/2-,-0.656(4),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1965Sm04,"PPS 86 1249 (65)",indc-nds-0794
60,145,Nd,72,"0.72 ns",5/2-,-0.320(4),ME,"Mossbauer Effect",1970Ka36,"ZP 240 100 (70)",indc-nds-0816
60,146,Nd,1043,"4 ps",4+,+0.77(13),TF,"Transient Field integral perturbed angular correlation",2001Ho02,"PR C63 024315",indc-nds-0816
60,146,Nd,454,"20.9 ps",2+,+0.58(6),TF,"Transient Field integral perturbed angular correlation",2001Ho02,"PR C63 024315",indc-nds-0816
60,147,Nd,0,"11.0 d",5/2-,0.554(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",L,"BAPS 15 769 (70)",indc-nds-0794
60,148,Nd,1280,"2.9 ps",6+,+1.6(3),TF,"Transient Field integral perturbed angular correlation",2001Ho02,"PR C63 024315",indc-nds-0816
