z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"magnetic dipole [nm]",method,description,nsr,journal,indc
46,105,Pd,645,"126 ps",7/2-,-1.49(9),IPAC,"Integral Perturbed Angular Correlation",1981Al19,"ZP A302 223 (81)",indc-nds-0816
46,106,Pd,1128,"3.1 ps",2+,+1.0(2),TF,"Transient Field integral perturbed angular correlation",2010Gu20,"PR C82 064301",indc-nds-0816
46,106,Pd,1229,"1.5 ps",4+,+1.8(4),TF,"Transient Field integral perturbed angular correlation",2010Gu20,"PR C82 064301",indc-nds-0816
46,106,Pd,512,"12 ps",2+,+0.79(5),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
46,108,Pd,434,"24 ps",2+,+0.69(4),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
46,110,Pd,374,"44 ps",2+,+0.67(4),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
46,114,Pd,333,"82 ps",2+,+0.5(2),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
46,116,Pd,340,"0.11 ns",2+,+0.4(2),IPAC,"Integral Perturbed Angular Correlation",2004Sm04,"PL B591 55 (04)",indc-nds-0816
47,101,Ag,0,"11.1 m",9/2+,+5.619(11),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (89)",indc-nds-0794
47,102,Ag,9,"7.7 m",2+,4.1(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1974Gr10,"PR C9 2028(74)",indc-nds-0794
47,102,Ag,0,"12.9 m",5+,4.6(7),NO/S,"Static Nuclear Orientation with gamma detection",1985Va06/1983Va09,"HFI 22 483 (85)/NP A396 115c (83)",indc-nds-0794
47,103,Ag,0,"65.7 m",7/2+,4.426(2),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (89)",indc-nds-0794
47,104,Ag,0,"69 m",5+,3.914(3),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (89)",indc-nds-0794
47,104,Ag,212,"1.4 ns",7+,4.8(3),IPAD,"Integral Perturbed Angular Distribution",1989VoZR,"Cf89Tshkt 71 (89) ",indc-nds-0816
47,104,Ag,7,"33 m",2+,3.686(3),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",2010Go08,"PR C81 054323 (2010)",indc-nds-0794
47,105,Ag,0,"41.3 d",1/2-,0.1013(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1963Ew02,"PR 129 1617 (63)",indc-nds-0794
47,105,Ag,25,"7.2 m",7/2+,4.408(13),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (89)",indc-nds-0794
47,105,Ag,1734,"5.6 ns",15/2+,+3.73(14),TDPAD,"Time Dependent Perturbed Angular Distribution",1980Le05,"IzF 44 202 (80)",indc-nds-0816
47,106,Ag,0,"24 m",1+,+2.8(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1974Gr10,"PR C9 2028 (1974)",indc-nds-0794
47,106,Ag,90,"8.3 d",6+,+3.704(4),CLS,"Resonance Cell Laser Spectroscopy",1989DI12,"NP A503 331 (89)",indc-nds-0794
47,107,Ag,93,"44.3 s",7/2+,+4.392(5),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1985Ed01,"PR C31 190 (85)",indc-nds-0794
47,107,Ag,325,"5.0 ps",3/2-,+0.9(2),TF,"Transient Field integral perturbed angular correlation",1986Ba14,"PR C33 1461 (86)",indc-nds-0816
47,107,Ag,423,"30 ps",5/2-,+1.0(2),TF,"Transient Field integral perturbed angular correlation",1986Ba14,"PR C33 1461 (86)",indc-nds-0816
47,108,Ag,0,"2.4 m",1+,2.6838(16),b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1976Wi03,"NP A261 261 (76)",indc-nds-0794
47,108,Ag,109,"438 y",6+,3.58(2),O,"Optical Spectroscopy",1975Fi07,"ZP A274 79 (75)",indc-nds-0794
47,109,Ag,88,"39.6 s",7/2+,4.394(6),NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1985Ed01/1971St09,"PR C31 190 (85)/CJP 49 906 (71)",indc-nds-0794
47,109,Ag,311,"5.9 ps",3/2-,+1.0(2),TF,"Transient Field integral perturbed angular correlation",1986Ba14,"PR C33 1461 (86)",indc-nds-0816
47,109,Ag,415,"33 ps",5/2-,+0.73(15),TF,"Transient Field integral perturbed angular correlation",1986Ba14,"PR C33 1461 (86)",indc-nds-0816
47,110,Ag,118,"250 d",6+,+3.602(4),AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1967Sc04,"PR 154 1142 (67)",indc-nds-0794
47,110,Ag,119,"37 ns",3+,+3.77(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1974Be47,"NP A229 72 (74)/JPJa 41 1830 (76)",indc-nds-0816
47,111,Ag,0,"7.45 d",1/2-,-0.146(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1956Wo27,"PPS 69A 581 (56)",indc-nds-0794
47,112,Ag,0,"3.13 h",2(-),0.0547(5),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1964Ch06,"PR 133 B1138 (64)",indc-nds-0794
47,113,Ag,0,"5.37 h",1/2-,0.159(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1964Ch06,"PR 133 B1138 (64)",indc-nds-0794
48,100,Cd,2548,"60 ns",8+,9.9(5),TDPAD,"Time Dependent Perturbed Angular Distribution",1992Al17,"ZP A344 1 (92)",indc-nds-0816
48,101,Cd,0,"1.36 m",5/2+,-0.8970(4),CLS,"Resonance Cell Laser Spectroscopy",2018Yo07,"PR C98 011303(R) 2017",indc-nds-0794
48,102,Cd,2719,"39 ns",8+,10.3(2),TDPAD,"Time Dependent Perturbed Angular Distribution",1992Al17,"ZP A344 1 (92)",indc-nds-0816
48,103,Cd,0,"7.3 m",5/2+,-0.8486(4),CLS,"Resonance Cell Laser Spectroscopy",2018Yo07,"PR C98 011303(R) 2017",indc-nds-0794
48,105,Cd,0,"56 m",5/2+,-0.7382(4),CLS,"Resonance Cell Laser Spectroscopy",2018Yo07,"PR C98 011303(R) 2017",indc-nds-0794
48,105,Cd,2517,"4.5 ms",21/2+,+9.17(6),SOPAD,"Stroboscopic Observation of Perturbed Angular Distribution",1978Sp09,"HFI 4 229 (78)",indc-nds-0816
48,106,Cd,1494,"1.7 ps",4+,+0.9(2),TF,"Transient Field integral perturbed angular correlation",2016Be24,"PR C94 034303 (2016)",indc-nds-0816
48,106,Cd,633,"5.1 ps",2+,+0.79(6),TF,"Transient Field integral perturbed angular correlation",2011Ch23,"PR C83 054318 (2011)",indc-nds-0816
48,107,Cd,0,"6.50 h",5/2+,-0.6141(3),OP/RD,"Optical Pumping with Radiative Detection",1972Sp09/1963By02,"PL 42A 273 (72)/PR 132 1181 (63)",indc-nds-0794
48,107,Cd,2679,"55 ns",21/2+,+9.10(10),TDPAD,"Time Dependent Perturbed Angular Distribution",1974Ha48,"PL 52B 329 (74)",indc-nds-0816
48,107,Cd,846,"71 ns",11/2-,-1.041(11),TDPAD,"Time Dependent Perturbed Angular Distribution",1974Be17,"NP A222 399 (74)",indc-nds-0816
48,108,Cd,4154,"35 ps",10+,-2.5(8),TF,"Transient Field integral perturbed angular correlation",2015Fa06,"HFI 230 155 (2015)",indc-nds-0816
