z,n.n+n.z,symbol,"energy [keV]",halflife,spin,"electric quadrupole [b]",method,description,nsr,journal,indc
31,81,Ga,0,"1.22 s",5/2-,-0.048(8),CLS,"Resonance Cell Laser Spectroscopy",2010Ch16,"PRL 104 252502 (2010)",indc-nds-0833
32,67,Ge,752,"146 ns",9/2+,0.92(9),TDPAD,"Time Dependent Perturbed Angular Distribution",1993Co17,"HFI 80 1321 (1993)",indc-nds-0833
32,69,Ge,0,"39.0 h",5/2-,+0.114(7),CLS,"Resonance Cell Laser Spectroscopy",2020Ka58,"PR C102 054331 (2020)",indc-nds-0833
32,70,Ge,1039,"1.30 ps",2+,+0.03(6),CER,"Coulomb excitation reorientation",1980Le16,"PR C22 1530 (1980)",indc-nds-0833
32,71,Ge,175,"79 ns",5/2+,0.18(4),TDPAD,"Time Dependent Perturbed Angular Distribution",1993Co17,"HFI 80 1321 (1993)",indc-nds-0833
32,72,Ge,834,"3.35 ps",2+,-0.13(6),CER,"Coulomb excitation reorientation",1980Le16,"PR C22 1530 (1980)",indc-nds-0833
32,73,Ge,0,stable,9/2+,-0.196(1),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
32,74,Ge,596,"12.4 ps",2+,-0.19(2),CER,"Coulomb excitation reorientation",2000To12,"Eur Phys J A9 353 (2000)",indc-nds-0833
32,76,Ge,563,"18.2 ps",2+,-0.19(6),CER,"Coulomb excitation reorientation",1980Le16,"PR C22 1530 (1980)",indc-nds-0833
33,70,As,0,"53 m",4+,+0.09(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1980Ho02,"ZP A294 1 (1980)",indc-nds-0833
33,71,As,0,"65.3 h",5/2-,-0.021(6),NO/S,"Static Nuclear Orientation with gamma detection",1988Wh03,"HFI 43 205 (1988)",indc-nds-0833
33,72,As,0,"26 h",2-,-0.08(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1980Ho02,"ZP A294 1 (1980)",indc-nds-0833
33,73,As,66,"5.0 ns",5/2-,+0.353(12),TDPAC,"Time Dependent Perturbed Angular Correlation",1992Sc21,"ZP A343 279 (1992)",indc-nds-0833
33,75,As,0,stable,3/2-,+0.311(2),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
34,70,Se,945,"1.0 ps",2+,-0.6(3),CER,"Coulomb excitation reorientation",2018He14,"PRL 121  082502 (2018)",indc-nds-0833
34,72,Se,862,"2.8 ps",2+,-0.6(3),CER,"Coulomb excitation reorientation",2018He14,"PRL 121  082502 (2018)",indc-nds-0833
34,74,Se,635,"7.08 ps",2+,-0.36(7),CER,"Coulomb excitation reorientation",1978Le22,"PR C18 2801 (1978)",indc-nds-0833
34,75,Se,0,"119.8 d",5/2+,1.1(2),MA,"Microwave Absorption in gases",1955Aa06,"PR 98 1224 (1955)",indc-nds-0833
34,76,Se,559,"12.3 ps",2+,-0.35(4),CER,"Coulomb excitation reorientation",2019He07,"PR C99 054313 (2019)",indc-nds-0833
34,77,Se,250,"9.6 ns",5/2-,+0.76(5),TDPAC,"Time Dependent Perturbed Angular Correlation",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
34,78,Se,614,"9.8 ps",2+,-0.26(9),CER,"Coulomb excitation reorientation",1977Le11,"NP A284 123 (1977)",indc-nds-0833
34,79,Se,0,"3.3 105 y",7/2+,+0.8(2),MA,"Microwave Absorption in gases",1989Ra17,"ADNDT 42 189 (1989)",indc-nds-0833
34,80,Se,666,"8.5 ps",2+,-0.31(7),CER,"Coulomb excitation reorientation",1977Le11,"NP A284 123 (1977)",indc-nds-0833
34,82,Se,655,"13.1 ps",2+,-0.22(7),CER,"Coulomb excitation reorientation",1977Le11,"NP A284 123 (1977)",indc-nds-0833
35,76,Br,0,"16.2 h",1-,+0.251(4),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1960Li11,"PR 119 1053 (1960)",indc-nds-0833
35,77,Br,0,"57 h",3/2-,+0.50(2),MAPON,"Multiple Adiabatic Passage NMR on Oriented Nuclei",1998Se09,"PRL 80 5289 (1998)",indc-nds-0833
35,79,Br,0,stable,3/2-,+0.3087(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
35,80,Br,0,"17.7 m",1+,+0.182(3),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1964Wh05,"PR 136 B584 (1964)",indc-nds-0833
35,82,Br,0,"35.3 h",5-,+0.697(10),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1959Ga12,"PR 116 393 (1959)",indc-nds-0833
36,75,Kr,0,"4.6 m",5/2+,+1.137(13),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1995Ke04,"NP A586 219 (1995)",indc-nds-0833
36,77,Kr,0,"74.4 m",5/2+,+0.948(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1995Ke04,"NP A586 219 (1995)",indc-nds-0833
36,79,Kr,130,"50 s",7/2+,+0.404(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1995Ke04,"NP A586 219 (1995)",indc-nds-0833
36,81,Kr,0,"2.3 105 y",7/2+,+0.644(4),LRFS,"Laser Resonance Fluorescence Spectroscopy",1993Ca41,"PR A47 1148 (1993)",indc-nds-0833
36,83,Kr,0,stable,9/2+,+0.259(1),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
36,84,Kr,3236,"1.83 ms",8+,+0.36(4),LEMS,"Level Mixing Spectroscopy",2006Sc22,"PR C74 034309 (2006)",indc-nds-0833
36,85,Kr,0,"10.74 y",9/2+,+0.443(3),LRFS,"Laser Resonance Fluorescence Spectroscopy",1993Ca41,"PR A47 1148 (1993)",indc-nds-0833
36,87,Kr,0,"76.3 m",5/2+,-0.300(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1995Ke04,"NP A586 219 (1995)",indc-nds-0833
36,89,Kr,0,"3.15 m",3/2+,+0.166(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1995Ke04,"NP A586 219 (1995)",indc-nds-0833
36,91,Kr,0,"8.57 s",5/2+,+0.303(6),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1995Ke04,"NP A586 219 (1995)",indc-nds-0833
36,94,Kr,666,"8.7 ps",2+,-0.5(3),CER,"Coulomb excitation reorientation","2012 Al03","PRL 108 062701 (2012)",indc-nds-0833
37,75,Rb,0,"19.0 s",3/2(-),+0.81(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2015Pr05,"Eur. Phys. J.  A 51 23 (2015)",indc-nds-0833
37,76,Rb,0,"36.5 s",1(-),+0.41(9),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2015Pr05,"Eur. Phys. J.  A 51 23 (2015)",indc-nds-0833
37,77,Rb,0,"3.8 m",3/2-,+0.84(17),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,78,Rb,103,"5.7 m",4-,+1.07(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2015Pr05,"Eur. Phys. J.  A 51 23 (2015)",indc-nds-0833
37,79,Rb,0,"23 m",5/2+,-0.12(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,80,Rb,0,"33.4 s",1+,+0.42(8),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,81,Rb,0,"4.57 h",3/2-,+0.48(10),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,82,Rb,0,"1.26 m",1+,+0.23(10),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,83,Rb,0,"86.2 d",5/2-,+0.24(5),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,84,Rb,0,"32.8 d",2-,-0.02(4),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,85,Rb,0,stable,5/2-,+0.276(1),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
37,86,Rb,0,"18.64 d",2-,+0.23(6),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,87,Rb,0,"5.0 1010 y",3/2-,+0.1335(5),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
37,88,Rb,0,"17.8 m",2-,-0.01(11),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,89,Rb,0,"15.3 m",3/2-,+0.17(3),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,90,Rb,107,"4.26 m",3-,+0.25(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,91,Rb,0,"58.2 s",3/2(-),+0.19(5),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,93,Rb,0,"5.84 s",5/2-,+0.21(6),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,94,Rb,0,"2.70 s",3(-),+0.20(7),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,95,Rb,0,"0.38 s",5/2-,+0.26(9),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,96,Rb,0,"0.20 s",2+,+0.30(9),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,97,Rb,0,"0.17 s",3/2-,+0.70)15),ABLS,"Atomic Beam Laser Spectroscopy",1981Th04,"PR C23 2720 (1981)",indc-nds-0833
37,98,Rb,"~ 270","96 ms",(3+),+1.73(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2015Pr05,"Eur. Phys. J.  A 51 23 (2015)",indc-nds-0833
38,77,Sr,0,"9 s",5/2+,+1.27(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1992Li11,"PR C46 797 (1992",indc-nds-0833
38,79,Sr,0,"2.25 m",(3/2-),+0.661(6),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1990Bu12,"PR C41 2883 (1990)",indc-nds-0833
38,83,Sr,0,"32.4 h",7/2+,+0.708(11),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1990Bu12,"PR C41 2883 (1990)",indc-nds-0833
38,85,Sr,0,"64.8 d",9/2+,+0.263(14),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1990Bu12,"PR C41 2883 (1990)",indc-nds-0833
38,87,Sr,0,stable,9/2+,+0.305(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008Py02,"Mol Phys 106 1965 (2008)",indc-nds-0833
38,89,Sr,0,"50.6 d",5/2+,-0.253(8),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1990Bu12,"PR C41 2883 (1990)",indc-nds-0833
38,91,Sr,0,"9.65 h",5/2+,+0.042(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1990Bu12,"PR C41 2883 (1990)",indc-nds-0833
38,93,Sr,0,"7.4 m",2+,+0.240(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1990Bu12,"PR C41 2883 (1990)",indc-nds-0833
38,96,Sr,815,"4.8 ps",2+,-0.2(3),CER,"Coulomb excitation reorientation",2016Cl01,"PRL 116 022701 (2016)",indc-nds-0833
38,98,Sr,144,"2.8 ns",4+,-0.5(2),CER,"Coulomb excitation reorientation",2016Cl01,"PRL 116 022701 (2016)",indc-nds-0833
38,99,Sr,0,"0.269 s",3/2+,+0.76(4),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1991Li05,"PL B256 141 (1991)",indc-nds-0833
39,87,Y,381,"13.4 h",9/2+,-0.50(6),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,88,Y,0,"106 d",4-,+0.16(3),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,89,Y,909,"15.7 s",9/2+,-0.43(6),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,90,Y,0,"64.0 h",2-,-0.125(11),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
39,92,Y,0,"3.54 h",2-,0.00(2),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,93,Y,758,"0.82 s",9/2+,-0.64(8),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,94,Y,0,"18.7 m",2-,-0.03(3),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,96,Y,1140,"9.6 s",8+,-0.98(11),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,97,Y,668,"1.17 s",9/2+,-0.76(8),CLS,"Resonance Cell Laser Spectroscopy",2007Ch07,"PL B645 133 (2007)",indc-nds-0833
39,98,Y,410,"2.0 s","4 or 5","+1.7(2) or +1.8(2)",CLS,"Resonance Cell Laser Spectroscopy",2007Bi14,"PL B645 330 (2007)",indc-nds-0833
39,99,Y,0,"1.48 s",5/2+,+1.55(17),CLS,"Resonance Cell Laser Spectroscopy",2007Bi14,"PL B645 330 (2007)",indc-nds-0833
39,100,Y,(143),"0.94 s",4,+1.85(20),CLS,"Resonance Cell Laser Spectroscopy",2007Bi14,"PL B645 330 (2007)",indc-nds-0833
39,101,Y,0,"0.45 s",5/2+,+1.53(17),CLS,"Resonance Cell Laser Spectroscopy",2007Bi14,"PL B645 330 (2007)",indc-nds-0833
39,102,Y,"0 + x","0.3 s","2 or 3","+1.17(13) or +1.36(16)",CLS,"Resonance Cell Laser Spectroscopy",2007Bi14,"PL B645 330 (2007)",indc-nds-0833
40,87,Zr,0,"1.68 h",9/2+,+0.42(5),CLS,"Resonance Cell Laser Spectroscopy",2003Th03,"J Phys G29 2247 (2003)",indc-nds-0833
40,89,Zr,0,"78.4 h",9/2+,+0.28(10),CLS,"Resonance Cell Laser Spectroscopy",2003Th03,"J Phys G29 2247 (2003)",indc-nds-0833
40,91,Zr,0,stable,5/2+,-0.176(3),MS,"Molecular Spectroscopy",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
40,95,Zr,0,"64.0 d",5/2+,+0.22(2),MAPON,"Multiple Adiabatic Passage NMR on Oriented Nuclei",1998Se01,"PRL 80 924 (1998)",indc-nds-0833
40,101,Zr,0,"2.3 s",3/2+,+0.81(6),CLS,"Resonance Cell Laser Spectroscopy",2002Ca37,"PRL 89 082501 (2002)",indc-nds-0833
41,90,Nb,0,"14.6 h",8+,+0.01(4),CLS,"Resonance Cell Laser Spectroscopy",2009Ch25,"PRL 102 222501 (2009)",indc-nds-0833
41,91,Nb,0,"680 y",9/2+,-0.25(3),CLS,"Resonance Cell Laser Spectroscopy",2009Ch25,"PRL 102 222501 (2009)",indc-nds-0833
41,92,Nb,0,"3.5 107 y",7+,-0.35(3),CLS,"Resonance Cell Laser Spectroscopy",2009Ch25,"PRL 102 222501 (2009)",indc-nds-0833
41,93,Nb,0,stable,9/2+,-0.32(2),Mu-X,"Muonic X-ray Hyperfine Structure",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
41,99,Nb,0,"15 s",9/2+,-0.41(14),CLS,"Resonance Cell Laser Spectroscopy",2009Ch25,"PRL 102 222501 (2009)",indc-nds-0833
41,101,Nb,0,"7.1 s",5/2+,+1.05(7),CLS,"Resonance Cell Laser Spectroscopy",2009Ch25,"PRL 102 222501 (2009)",indc-nds-0833
41,103,Nb,0,"1.5 s",5/2+,+1.08(9),CLS,"Resonance Cell Laser Spectroscopy",2009Ch25,"PRL 102 222501 (2009)",indc-nds-0833
42,90,Mo,2875,"1.1 ms",8+,0.61(3),TDPAD,"Time Dependent Perturbed Angular Distribution",1985Ra09,"PRL 54 2592 (1985)",indc-nds-0833
42,92,Mo,2760,"190 ns",8+,(-)0.36,"not measured","The value is an estimation",1991Ha04,"PR C43 2140 (1991)",indc-nds-0833
42,94,Mo,871,"2.8 ps",2+,"-0.13(8) or +0.01(8)",CER,"Coulomb excitation reorientation",1976Pa13,"PR C14 835 (1976)",indc-nds-0833
42,95,Mo,0,stable,5/2+,-0.022(1),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
42,96,Mo,778,"3.7 ps",2+,"-0.20(8) or +0.04(8)",CER,"Coulomb excitation reorientation",1976Pa13,"PR C14 835 (1976)",indc-nds-0833
42,97,Mo,0,stable,5/2+,+0.255(13),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
42,98,Mo,787,"3.5 ps",2+,-0.26(9),CER,"Coulomb excitation reorientation",1979Pa11,"PR C20 1201 (1979)",indc-nds-0833
42,100,Mo,536,"12.6 ps",2+,-0.25(7),CER,"Coulomb excitation reorientation",2011Wr01,"Acta Phys Pol B42 803 (2011)",indc-nds-0833
43,99,Tc,0,"2.1 105 y",9/2+,-0.129(6),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
44,93,Ru,2082,"2.3 ms",21/2+,+0.04(1),TDPAD,"Time Dependent Perturbed Angular Distribution",1991Ha04,"PR C43 2140 (1991)",indc-nds-0833
44,96,Ru,833,"2.9 ps",2+,-0.15(8),CER,"Coulomb excitation reorientation",1998Hi01,"PR C57 (1998)",indc-nds-0833
44,98,Ru,653,"5.5 ps",2+,"-0.21(8) or -0.01(9)",CER,"Coulomb excitation reorientation",1998Hi01,"PR C57 (1998)",indc-nds-0833
44,99,Ru,0,stable,5/2+,+0.079(4),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
44,100,Ru,540,"12.6 ps",2+,"-0.44(4) or -0.27(7)",CER,"Coulomb excitation reorientation",1998Hi01,"PR C57 (1998)",indc-nds-0833
44,101,Ru,0,stable,5/2+,+0.46(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
44,102,Ru,475,"18 ps",2+,"-0.63(4) or -0.34(3)",CER,"Coulomb excitation reorientation",1998Hi01,"PR C57 (1998)",indc-nds-0833
44,103,Ru,0,"39.2 d",3/2+,+0.62(2),NO/S,"Static Nuclear Orientation with gamma detection",1986Gr26,"HFI 30 355 (1986)",indc-nds-0833
44,104,Ru,358,"56 ps",2+,"-0.78(7) or -0.20(12)",CER,"Coulomb excitation reorientation",1998Hi01,"PR C57 (1998)",indc-nds-0833
45,100,Rh,74,"215 ns",(2)+,"0.153 (18)",PAC,"Perturbed Angular Correlation",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
45,103,Rh,295,"6.6 ps",3/2-,-0.3(2),CERP,"Precession of Coulomb Excitation Reorientation",1976Ge19,"ZP A 279 183 (1976)",indc-nds-0833
46,102,Pd,556,"11.5 ps",2+,-0.20(15),CERP,"Precession of Coulomb Excitation Reorientation",1977Fa11,"NIM 146 329 (1977)",indc-nds-0833
46,104,Pd,556,"9.9 ps",2+,-0.46(11),CERP,"Precession of Coulomb Excitation Reorientation",1977Fa11,"NIM 146 329 (1977)",indc-nds-0833
46,105,Pd,0,stable,5/2+,+0.660(11),Mu-X,"Muonic X-ray Hyperfine Structure",2018Py01,"Mol Phys 116 1328 (2018)",indc-nds-0833
46,106,Pd,512,"12 ps",2+,-0.51(7),ES,"Electron Scattering",1973Ho05,"PRL 30 388 (1973)",indc-nds-0833
46,108,Pd,434,"24 ps",2+,-0.58(4),ES,"Electron Scattering",1978Ar07,"J Phys G4 961 (1978)",indc-nds-0833
46,110,Pd,374,"44 ps",2+,-0.47(3),ES,"Electron Scattering",1976Li19,"PR C14 952 (1976)",indc-nds-0833
47,101,Ag,0,"11.1 m",9/2+,+0.35(5),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (1989)",indc-nds-0833
47,103,Ag,0,"65.7 m",7/2+,+0.84(9),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (1989)",indc-nds-0833
47,104,Ag,0,"69 m",5+,+1.06(11),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (1989)",indc-nds-0833
47,105,Ag,25,"7.2 m",7/2+,+0.85(11),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (1989)",indc-nds-0833
47,106,Ag,90,"8.3 d",6+,1.11(11),CLS,"Resonance Cell Laser Spectroscopy",1989Di12,"NP A503 331 (1989)",indc-nds-0833
47,107,Ag,93,"44.3 s",7/2+,0.98(11),LMR,"Level Mixing Resonance on Oriented Nuclei",1986Be01,"PR C33 390 (1986)",indc-nds-0833
47,108,Ag,109,"438 y",6+,+1.32(7),O,"Optical Spectroscopy",1986Be01,"PR C33 390 (1986)",indc-nds-0833
47,109,Ag,88,"39.6 s",7/2+,(+)1.02(12),LMR,"Level Mixing Resonance on Oriented Nuclei",1986Be01,"PR C33 390 (1986)",indc-nds-0833
47,110,Ag,0,"24.4 s",1+,0.24(12),QIR,"Quadrupole Interaction deduced from Relaxation Time",1981Do17,"HFI 10 727 (1981)",indc-nds-0833
48,101,Cd,0,"1.36 m",5/2+,-0.177(7),CLS,"Resonance Cell Laser Spectroscopy",2018Yo07,"PR C98 011303(R)",indc-nds-0833
48,102,Cd,2718,"39 ns",8+,0.76(9),TDPAD,"Time Dependent Perturbed Angular Distribution",1992Al17,"ZP A344 1 (1992)",indc-nds-0833
48,103,Cd,0,"7.3 m",5/2+,-0.007(3),CLS,"Resonance Cell Laser Spectroscopy",2018Yo07,"PR C98 011303(R)",indc-nds-0833
48,105,Cd,0,"56 m",5/2+,+0.377(15),OD,"Optical Double Resonance",2018Yo07,"PR C98 011303(R)",indc-nds-0833
48,106,Cd,633,"5.1 ps",2+,-0.28(8),CER,"Coulomb excitation reorientation",1976Es02,"NP A274 237 (1977)",indc-nds-0833
48,107,Cd,0,"6.50 h",5/2+,+0.60(2),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,108,Cd,633,"6.9 ps",2+,-0.45(8),CER,"Coulomb excitation reorientation",1976Es02,"NP A274 237 (1977)",indc-nds-0833
48,109,Cd,0,"461 d",5/2+,+0.60(3),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,110,Cd,658,"5.0 ps",2+,-0.40(4),ES,"Electron Scattering",1977Gi13,"J Phys G3 L169 (1977)",indc-nds-0833
48,111,Cd,245,"84 ns",5/2+,+0.64(3),TDPAC,"Time Dependent Perturbed Angular Correlation",1978Sp09,"HFI 4 229 (1978)",indc-nds-0833
48,112,Cd,617,"6.5 ps",2+,-0.37(4),ES,"Electron Scattering",1977Gi13,"J Phys G3 L169 (1977)",indc-nds-0833
48,113,Cd,264,"14.1 y",11/2-,-0.61(3),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,114,Cd,558,"10.2 ps",2+,-0.348(12),ES,"Electron Scattering",1981Ko06,"J Phys G7 L63 (1981)",indc-nds-0833
48,115,Cd,181,"44.6 d",11/2-,-0.48(2),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,116,Cd,513,"14.1 ps",2+,-0.42(4),ES,"Electron Scattering",1977Gi13,"J Phys G3 L169 (1977)",indc-nds-0833
48,117,Cd,136,"3.36 h",11/2-,-0.320(13),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,119,Cd,147,"2.20 m",11/2-,-0.135(6),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,121,Cd,215,"8.3 s",11/2-,+0.009(6),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,123,Cd,317,"1.82 s",11/2-,+0.135(7),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,125,Cd,0,"0.68 s",3/2+,+0.209(10),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,127,Cd,0,"0.37 s",3/2+,+0.239(11),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
48,129,Cd,0,"154 ms",3/2+,+0.132(9),CLS,"Resonance Cell Laser Spectroscopy",2013Yo02,"PRL 110 192501 (2013)",indc-nds-0833
49,104,In,0,"1.7 m",5+,+0.63(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,105,In,0,"5.07 m",9/2+,+0.79(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,106,In,0,"6.2 m",7+,+0.92(6),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,107,In,0,"32.4 min",9/2+,+0.77(5),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,108,In,0,"58 m",7+,+0.957(7),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,109,In,0,"4.2 h",9/2+,+0.80(3),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,110,In,0,"4.9 h",2+,+0.32(2),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1968CaZX,"TH 68 Cass.",indc-nds-0833
49,111,In,0,"2.83 d",9/2+,+0.76(2),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,112,In,0,"14.9 m",1+,+0.082(5),AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1968CaZX,"TH 68 Cass. ",indc-nds-0833
49,114,In,190,"49.5 d",5+,+0.705(11),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
49,117,In,0,"42 m",9/2+,+0.790(10),CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1987Eb02,"NP A464 9 (1987)",indc-nds-0833
